year,all wheat,oats,barley,flaxseed,canola,all rye
1451631600,0.0,0.0,0.0,0.0,0.0,0.0
1454310000,0.0,0.0,0.0,0.0,0.0,0.0
1456815600,0.0,0.0,0.0,0.0,0.0,0.0
1459490400,0.0,0.0,0.0,0.0,0.0,0.0
1462082400,105.8,6.5,46.1,0.6,64.5,0.6
1464760800,740.8,45.8,322.4,4.4,451.3,4.4
1467352800,2539.9,157.0,1105.3,15.0,1547.4,15.0
1470031200,3069.1,189.7,1335.5,18.2,1869.8,18.1
1472709600,2275.3,140.6,990.1,13.5,1386.2,13.4
1475301600,1164.1,71.9,506.6,6.9,709.2,6.9
1477980000,158.7,9.8,69.1,0.9,96.7,0.9
1480575600,52.9,3.3,23.0,0.3,32.2,0.3
1483254000,0.0,0.0,0.0,0.0,0.0,0.0
1485932400,0.0,0.0,0.0,0.0,0.0,0.0
1488351600,0.0,0.0,0.0,0.0,0.0,0.0
1491026400,0.0,0.0,0.0,0.0,0.0,0.0
1493618400,104.5,6.4,40.9,0.7,71.5,0.4
1496296800,731.5,44.7,286.3,4.6,500.4,2.5
1498888800,2508.1,153.1,981.6,15.6,1715.6,8.4
1501567200,3030.6,185.0,1186.1,18.9,2073.0,10.2
1504245600,2246.8,137.1,879.4,14.0,1536.9,7.5
1506837600,1149.5,70.2,449.9,7.2,786.3,3.9
1509516000,156.8,9.6,61.4,1.0,107.2,0.5
1512111600,52.3,3.2,20.5,0.3,35.7,0.2
